orð	óviðeigandiheitaeinkunn	atkvæði
hálfþunglyndur	3.5	2
hálshöggning	5.17	6
haltra	1.0	7
hamur	6.0	3
hámur	1.0	3
handbendi	2.75	8
handlangari	2.5	2
hani	0.0	3
hár	2.0	5
harðjaxl	2.67	6
harðnjóli	6.0	5
hárgreiðslukona	0.0	1
hari	10.0	1
háskólanemi	2.5	2
háslétta	3.0	3
hata	4.5	8
hatari	1.0	2
hátíðahöld	1.25	4
hatursáróður	1.67	3
hatursefni	0.0	3
hatursfullur	0.5	4
hatursglæpur	2.2	5
hatursmaður	5.0	2
hatursmorð	4.29	7
haturstal	1.25	4
haugadrukkinn	5.0	5
haugafullur	5.75	4
haulpjanki	6.0	2
hávaðaseggur	0.0	1
hefðarpíka	9.0	3
hefndarbrot	0.0	1
hefndarklámsmál	6.0	5
hefndarmorð	6.0	1
hefnibrot	0.67	3
hégilja	0.0	1
hegning	0.0	2
hegningalagabrot	0.0	5
hegningardómur	0.33	3
hegningarlagabrot	0.0	4
hégómafullur	5.0	1
hégómi	1.0	3
heiðríkja	0.75	4
heiðursmorð	5.0	4
heiðvirður	0.0	2
heigull	4.0	5
heigulsskapur	3.0	2
heilladís	1.67	3
heilsa	1.25	4
heimilisdjöfull	2.5	2
heimilisofbeldi	2.5	6
heimilisofbeldisbrot	2.5	2
heimlæða	2.33	3
heimótti	3.0	3
heimska	1.2	5
heimskingi	8.0	3
heimskulegur	3.0	3
heimskupör	2.5	4
heimskur	3.33	3
heimur	0.0	2
helgibrot	5.0	2
helgidagur	1.0	3
helvískur	2.5	6
helvíti	6.0	5
helvítis	4.2	5
hemi	3.5	2
hémóna	5.0	1
héna	5.0	1
henda	1.67	3
hengilmæna	5.0	2
hengsli	5.33	6
héraðssaksóknari	3.0	3
héragaukur	3.6	5
hérakoppur	4.25	4
herdómstóll	6.0	2
herfa	10.0	3
herfangelsi	3.33	3
herglæpur	0.0	3
héri	2.33	6
herkerling	7.5	2
hermdarverkamaður	5.0	1
heróín	1.0	6
heróínsmygl	3.67	3
herramaður	3.5	4
herréttarhöld	0.0	4
hérvillingur	3.5	2
heybrók	2.0	2
heyrnaleysingi	5.33	3
heyrnarlaus	2.4	5
hilla	1.67	3
hilmingarbrot	10.0	1
himbrimi	2.8	5
himinn	2.5	2
himnalykkja	3.4	5
himnastigi	0.0	2
hismi	2.5	2
hitastig	0.0	2
hitta	2.75	4
hjáræna	2.0	3
hjáróma	0.0	1
hjassi	6.0	2
hjátrúarfullur	1.57	7
hjól	0.0	4
hjónadjöfull	6.5	6
hjúkka	4.5	2
hjúkrunarkona	4.0	3
hjúskaparbrot	2.67	3
hlaðborð	0.5	4
hláka	2.33	3
hlass	4.43	7
hlaupa	1.25	4
hlaupgosi	10.0	1
hlésari	2.5	2
hljóðfæri	0.0	1
hljómplata	2.5	4
hlunkur	6.25	4
hlussa	8.43	7
hlutabréfamarkaður	5.0	2
hlutabréfavísitala	0.0	1
hluthafi	2.5	6
hnykla	1.67	3
hólbrók	10.0	1
hólkur	1.25	4
hommadjöfull	10.0	2
hommafælinn	5.0	3
hommafóbía	6.4	5
hommahækja	10.0	2
hommahatari	10.0	1
hommaklám	0.5	2
hommalegt	9.33	6
hommalegur	10.0	1
hommatittur	8.33	3
hommi	3.5	4
hómófóbía	3.0	2
hönd	0.0	4
hónefur	3.5	2
hópmorð	4.4	5
hópnauðga	6.0	4
hópnauðgun	7.33	3
hópnauðgunarmál	3.0	3
hoppintegla	5.5	2
hópsjálfsmorð	0.0	1
hór	7.5	4
hóra	7.6	5
horaður	3.5	2
hordálkur	8.5	2
hórdómsbrot	7.5	2
hórdómur	7.0	2
hórkarl	5.0	1
hórmang	8.33	3
horngrýtis	3.0	2
horrengla	9.0	3
hórufáni	9.33	3
hóruhald	5.5	4
hórujagari	9.5	4
hórukró	10.0	2
hórulík	9.5	2
hórumamma	9.0	1
hórunarvín	3.5	2
hórusæng	9.0	2
hórusonur	9.71	7
hóruungi	10.0	1
hottintotti	5.0	1
hótunarbrot	1.0	3
hráæti	3.33	3
hræfugl	2.33	3
hræsinn	0.0	3
hræsna	7.5	2
hræsnari	0.0	3
hræsni	0.0	3
hræsnisfullur	6.33	3
hrani	2.0	2
hreðubassi	2.5	2
hrekkjagífill	4.67	3
hrekkjalimur	7.0	1
hreppskerling	7.33	3
hreyfanlegur	0.0	1
hrímskella	5.0	2
hringja	1.67	3
hró	1.5	2
hroðajarpur	4.25	4
hroði	3.0	2
hroðjarpur	3.25	4
hroðkálfur	0.0	1
hroðklápur	6.5	4
hrognhetta	7.67	3
hrognpusa	8.0	2
hrokafullur	1.5	4
hrokagikkur	2.0	1
hrökkáll	2.2	5
hrokkinhærður	0.0	4
hrokkinskinna	3.5	2
hrókur	1.67	3
hromsari	4.0	3
hrossabrestur	0.0	1
hrossaskella	7.6	5
hrosshaus	5.0	2
hrösulkarl	5.0	1
hrösulmenni	2.5	2
hrottafenginn	4.4	5
hrottaverk	2.33	3
hrotti	0.0	1
hryðjuverk	2.5	6
hryðjuverkabrot	5.0	2
hryðjuverkamaður	5.33	3
hryssa	5.0	2
hryssugrallari	7.0	2
húðstrýking	5.5	2
huglaus	3.0	2
hugleysingi	3.0	3
hugmyndafræði	0.0	4
hugsjónasamur	1.75	4
hugsuður	0.0	2
huklari	5.4	5
hulduhrútur	10.0	2
hulpjanki	3.0	1
húnamengi	5.0	1
hunangssætur	0.0	2
hundaklyfberi	4.0	4
hundgamall	0.0	3
hundlápa	7.0	2
hundspott	3.8	5
hurpa	3.0	2
hús	2.5	2
húsbrot	0.5	4
húski	5.0	1
hvatabúss	2.5	2
hvatvísi	0.0	2
hveðra	4.0	3
hvellibjalla	1.33	6
hverfa	0.0	2
hverfi	1.0	5
hvinn	0.0	1
hvippa	5.0	1
hvísla	0.0	1
hvítkál	0.0	2
hvolpur	1.0	5
hýðing	2.0	5
hyggjuleysi	0.14	7
hylla	3.4	5
hylming	2.2	5
hyndla	10.0	1
hýr	2.5	2
hyrja	1.0	1
hysterískur	7.2	5
hytta	5.0	2
idíót	7.0	5
íðorð	0.0	2
íhaldsmaður	2.2	5
íhaldsseggur	5.25	4
illgjarn	2.0	4
illindaseggur	5.67	3
illkvittinn	1.0	2
illviðræðuhæfur	7.0	1
illvirki	2.5	2
imbi	5.5	4
ímyndaður	3.2	5
indíánar	5.67	3
ingjaldsfífl	6.33	3
innherjasvikabrot	0.0	4
irra	7.0	3
íslamófóbía	0.0	2
Íslendingur	2.0	5
ístrubelgur	4.75	4
íþróttafólk	0.0	2
jálkur	2.33	3
